timestamp,elapsed_ms,http_status,latency_seconds
2026-08-24T14:00:21.3NZ,667,200,0.616001
2026-08-24T14:00:23.3NZ,711,200,0.651225
2026-08-24T14:00:25.3NZ,676,200,0.620255
2026-08-24T14:00:29.3NZ,2706,200,0.616801
2026-08-24T14:00:30.3NZ,4394,200,0.625802
2026-08-24T14:00:32.3NZ,6106,200,0.623680
2026-08-24T14:00:34.3NZ,7830,200,0.626513
2026-08-24T14:00:35.3NZ,9503,200,0.602030
2026-08-24T14:00:37.3NZ,11284,200,0.691766
2026-08-24T14:00:39.3NZ,12965,200,0.621202
2026-08-24T14:00:41.3NZ,19046,000,5.000882000,timeout
2026-08-24T14:00:47.3NZ,25214,000,5.005553000,timeout
2026-08-24T14:00:53.3NZ,31354,000,5.006089000,timeout
2026-08-24T14:00:59.3NZ,33112,200,0.612712
2026-08-24T14:01:01.3NZ,34921,200,0.709615
2026-08-24T14:01:02.3NZ,36748,200,0.650289
2026-08-24T14:01:04.3NZ,38498,200,0.636718
2026-08-24T14:01:06.3NZ,40175,200,0.611713
